modelColorSpace,modelName,,RMSE,Rsquared,MAE
HSV,independentComponent,,24.34518636,0.581849252,18.62670622
HSV,linear,,24.34518636,0.581849252,18.62670622
HSV,gprRadial,,24.36586142,0.59861598,13.98129277
HSV,linearPenalized,,24.38941726,0.576499726,18.41143656
HSV,leastAngle,,24.41012055,0.575138771,18.43829555
Lab,svmLinear,,24.56896177,0.620316276,14.84016115
HSV,bayesianRidgeRegression,,24.62459083,0.562067311,18.30607103
YCbCr,principalComponentAnalysis,,24.65460873,0.557024944,17.84515931
YCbCr,partialLeastSquaresGenLinear,,24.71167784,0.557731464,18.80218925
YIQ,sparsePartialLeastSquares,,24.71167784,0.557731464,18.80218925
HSV,partialLeastSquares,,24.92072168,0.563309513,18.92399292
YIQ,svmRadialCost,,25.04836249,0.679239053,13.90442497
sRGB,svmLinear,,25.12206241,0.61201873,14.8499494
YCbCr,svmLinear,,25.23644969,0.60386387,15.00508956
YIQ,svmLinear,,26.23350925,0.559685582,15.60434494
YIQ,partialLeastSquares,,26.63124568,0.483382258,20.97244655
YIQ,principalComponentAnalysis,,26.66344973,0.480554202,19.51436727
HSV,svmLinear,,27.02008381,0.566169847,15.84329224
HSV,svmRadialCost,,28.66606117,0.494922411,14.19253392
HSV,principalComponentAnalysis,,29.58807154,0.352628666,21.82347535
Lab,gprLinear,,56.7589265,0.629513695,52.03954015
YIQ,gprLinear,,57.21417196,0.581170356,51.83852727
YCbCr,gprLinear,,57.41638052,0.582591298,52.03818338
sRGB,gprLinear,,57.44515001,0.582575584,52.06830365
HSV,gprLinear,,60.41569227,0.569026921,55.35854474
